gamma_mr,gamma_mc,ie_over_iw,in_over_ie,d_ie_iw_dlog_mr,d_ie_iw_dlog_mc,d_in_ie_dlog_mr,d_in_ie_dlog_mc,det_j,abs_det_j,cond_j,good_invertibility,good_condition,good_both
0.0222,59.6,3.846588447819483,1.012343790691126,-0.033808221170688345,-0.4698747499989079,-0.001964699522335615,-0.03358784026645974,0.0002123824354938015,0.0002123824354938015,1050.2614155731824,1,0,0
0.0222,79.1,3.768135041460944,1.0091249766179937,-0.03586402808193603,-0.6381946112238392,-0.002107504927763081,-0.026184073979100476,-0.0004059319235401349,0.0004059319235401349,1008.2188939971322,1,0,0
0.0295,0.0126,3.882448036059065,1.7695891948632285,-0.045232035108837054,-0.00968656006455847,-0.028420943268734577,-0.009611277935236579,0.00015943648694340562,0.00015943648694340562,19.013890233312654,1,0,0
0.0295,0.0168,3.881237809482519,1.7683883739408088,-0.045753111304184566,-0.009767188261159736,-0.028646917147174746,-0.010498919843476165,0.00020055841529397622,0.00020055841529397622,15.490104553347669,1,0,0
0.0295,0.0222,3.8800454793628316,1.767006645054757,-0.04508966484371585,-0.012208056529808227,-0.028329080132351137,-0.013583381347580506,0.0002666271007135766,0.0002666271007135766,11.801376000649872,1,0,0
0.0295,0.0295,3.878252784200509,1.7650670642271202,-0.0444985245246337,-0.017369555915217726,-0.028098756571744682,-0.018419252343668414,0.00033156662871913485,0.00033156662871913485,10.188254289725812,1,0,0
0.0295,0.0391,3.875775629419674,1.7624787547646137,-0.0442048122780356,-0.022977555015129696,-0.0279409095367589,-0.024474815627103862,0.0004398908442820186,0.0004398908442820186,8.663442333346639,1,1,1
0.0295,0.0518,3.8726345940664757,1.759082782279022,-0.0442715472693368,-0.02939500956664267,-0.02768911670034021,-0.03195260217226699,0.0006006692871494458,0.0006006692871494458,7.545052724816513,1,1,1
0.0295,0.0687,3.8685803195757376,1.7546573974546844,-0.04411882325501713,-0.03834558185891824,-0.02768905603806351,-0.04207295485495249,0.0007944562941582251,0.0007944562941582251,7.358115909467002,1,1,1
0.0295,0.091,3.8632509841277085,1.7487870408091761,-0.04369665875181724,-0.0496139672205339,-0.027405403643914385,-0.05470506843170841,0.0010307379092005038,0.0010307379092005038,7.743515105286158,1,1,1
0.0295,0.121,3.856383785823461,1.7412093252498924,-0.04312009186285573,-0.06415950608898321,-0.02701122416216789,-0.07136665655915125,0.0013443099856719762,0.0013443099856719762,8.66123181748706,1,1,1
0.0295,0.16,3.8475268628188415,1.7312966012227493,-0.04248391016039889,-0.0827668980174546,-0.026602676505428687,-0.09338341632512007,0.0017654716563113761,0.0017654716563113761,10.144241040395892,1,0,0
0.0295,0.212,3.8362258672048517,1.7184657483888566,-0.04158221760323288,-0.10445711331233452,-0.025986612634284586,-0.11986676537955443,0.0022698393808650848,0.0022698393808650848,12.113781458085716,1,0,0
0.0295,0.281,3.8219780800741576,1.7019788281206603,-0.04047975130856962,-0.12998047941531168,-0.02523132671451928,-0.15268686615136956,0.0029011464272547197,0.0029011464272547197,14.575060801299975,1,0,0
0.0295,0.373,3.8043321708143183,1.6810005184269479,-0.03912164072041848,-0.1599554116462465,-0.024269040500768512,-0.19307989885506385,0.0036716380697826927,0.0036716380697826927,17.642522475542872,1,0,0
