gamma_mr,gamma_mc,i_east,i_north,ie_over_in
0.0256,0.139,0.02086502695668424,0.03376734850782868,0.6179053991120109
0.0256,0.168,0.02095726222041555,0.03371659759546635,0.6215710870907548
0.0256,0.202,0.02106662649897782,0.03365774158851567,0.625907310018862
0.0256,0.244,0.02119587913303106,0.03359008923722073,0.6310158625462711
0.0256,0.295,0.02134810297498183,0.03351321516777698,0.6370055176176612
0.0256,0.356,0.02152665330428417,0.03342711422480332,0.6439877866666438
0.0256,0.429,0.02173516253205853,0.03333247883462614,0.6520715917917215
0.0256,0.518,0.02197746813839735,0.03323100135527553,0.6613543751942447
0.0256,0.625,0.02225758912385505,0.03312579690272811,0.6719110543729139
0.0256,0.754,0.02257968790371219,0.03302187057413299,0.6837797953638499
0.0256,0.91,0.0229480538682393,0.0329266007965743,0.6969457312042617
0.0256,1.1,0.02337847697939647,0.03287349433401335,0.7111649507611781
0.0256,1.33,0.02385326093931169,0.03282848606321196,0.7266025272497099
0.0256,1.6,0.02437695392755446,0.032809833659616,0.7429770653655839
0.0256,1.93,0.02499191253208813,0.03290419592585178,0.7595357318077715
0.0256,2.33,0.02565634213654399,0.03304268032220595,0.7764606831638275
0.0256,2.81,0.02643135776970908,0.03333797714835265,0.7928302803763589
0.0256,3.39,0.02727377283822415,0.03372072245044263,0.8088134196503891
0.0256,4.09,0.0282390471100003,0.03428061994161204,0.8237612726402862
0.0256,4.94,0.02934585088332865,0.03503914715426736,0.8375161288637319
0.0256,5.96,0.03055756851560473,0.03593386547407641,0.8503835619257194
0.0256,7.2,0.0319409178543968,0.03705299717847207,0.8620333113822866
0.0256,8.69,0.03351478415100503,0.03840994645403142,0.8725548261598107
0.0256,10.5,0.03524159837424634,0.03994228342138659,0.8823130616357471
0.0256,12.6,0.03711270342730658,0.04163153247726423,0.8914565767564413
0.0256,15.3,0.03917935699854416,0.0435403317225171,0.8998405719146683
0.0256,18.4,0.04144317399029872,0.04566557501975333,0.9075364532773726
0.0256,22.2,0.04380537169371961,0.04787814609094451,0.9149345843615441
0.0256,26.8,0.04621111366952072,0.05011172518693374,0.9221616996249398
